;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Température;1M;2M;3P;4M;5M;6C;7S;8S;;;;;;;;;;;;;;;;;;
2015;2.30;5.71;--;2.64;2.23;1.94;3.22;2.71;;;;;;;;;;;;;;;;;;
2016;4.01;8.27;4.24;5.19;2.06;0.78;2.93;5.18;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Nitrites;1M;2M;3P;4M;5M;6C;7S;8S;;;;;;;;;;;;;;;;;;
2007;0.000;0.010;0.010;0.010;0.000;0.010;0.010;0.010;;;;;;;;;;;;;;;;;;
2008;0.020;0.040;0.011;0.016;0.012;0.005;0.007;0.012;;;;;;;;;;;;;;;;;;
2009;0.018;0.072;-;0.010;0.012;0.005;0.001;0.033;;;;;;;;;;;;;;;;;;
2010;0.005;0.019;0.011;0.003;0.031;0.016;0.005;0.009;;;;;;;;;;;;;;;;;;
2011;0.001;0.071;0.003;-;0.031;0.014;0.003;0.014;;;;;;;;;;;;;;;;;;
2012;0.003;0.009;0.071;0.030;0.012;0.011;0.019;0.014;;;;;;;;;;;;;;;;;;
2013;0.006;0.227;0.007;-;0.014;0.021;0.016;0.026;;;;;;;;;;;;;;;;;;
2014;0.013;0.158;0.004;0.080;0.014;0.012;0.009;0.016;;;;;;;;;;;;;;;;;;
2015;0.020;0.038;-;0.051;0.034;0.022;0.015;0.015;;;;;;;;;;;;;;;;;;
2016;0.017;0.017;0.016;0.013;0.020;0.017;0.028;0.020;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Chlorures;1M;2M;3P;4M;5M;6C;7S;8S;;;;;;;;;;;;;;;;;;
2007;10.1;12.6;15.1;15.8;14.3;13.2;16.8;17.6;;;;;;;;;;;;;;;;;;
2008;10.5;9.2;11.1;9.5;12.8;15.4;9.2;21.2;;;;;;;;;;;;;;;;;;
2009;13.1;39.0;-;34.0;32.0;19.9;8.8;65.0;;;;;;;;;;;;;;;;;;
2010;15.0;35.0;24.5;23.4;25.0;14.0;13.9;24.5;;;;;;;;;;;;;;;;;;
2011;15.6;46.0;45.5;-;53.0;20.3;20.9;16.4;;;;;;;;;;;;;;;;;;
2012;10.9;23.4;20.8;21.4;18.1;20.4;21.6;22.7;;;;;;;;;;;;;;;;;;
2013;10.3;33.0;23.3;-;26.0;23.1;24.0;15.9;;;;;;;;;;;;;;;;;;
2014;9.6;31.0;-;21.8;13.9;12.6;16.5;13.3;;;;;;;;;;;;;;;;;;
2015;9.6;31.0;-;21.8;13.9;13.3;16.5;12.6;;;;;;;;;;;;;;;;;;
2016;9.9;30.6;20.8;29.2;16.8;28.9;19.2;26.7;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Sulfates;1M;2M;3P;4M;5M;6C;7S;8S;;;;;;;;;;;;;;;;;;
2007;23;22;25;36;31;37;28;48;;;;;;;;;;;;;;;;;;
2008;25;51;37;29;36;42;29;56;;;;;;;;;;;;;;;;;;
2009;23;36;-;49;48;50;45;51;;;;;;;;;;;;;;;;;;
2010;22;33;31;40;43;56;45;67;;;;;;;;;;;;;;;;;;
2011;26;35;37;-;41;54;47;53;;;;;;;;;;;;;;;;;;
2012;24;34;39;39;44;44;36;57;;;;;;;;;;;;;;;;;;
2013;25;30;29;-;41;52;32;57;;;;;;;;;;;;;;;;;;
2014;22;22;-;11;18;50;21;31;;;;;;;;;;;;;;;;;;
2015;22;22;-;11;18;31;21;50;;;;;;;;;;;;;;;;;;
2016;18.4;27.3;26;30.6;52.8;30.7;42;29.7;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Ammonium;1M;2M;3P;4M;5M;6C;7S;8S;;;;;;;;;;;;;;;;;;
2007;0.070;0.060;0.060;0.060;0.090;0.160;0.070;0.090;;;;;;;;;;;;;;;;;;
2008;0.070;0.840;0.080;0.360;0.090;0.250;0.230;0.100;;;;;;;;;;;;;;;;;;
2009;0.140;0.140;-;0.070;0.490;0.040;0.100;0.310;;;;;;;;;;;;;;;;;;
2010;0.150;0.100;0.080;0.170;0.660;0.190;0.100;0.110;;;;;;;;;;;;;;;;;;
2011;0.270;0.430;0.060;-;0.360;0.110;0.290;0.080;;;;;;;;;;;;;;;;;;
2012;0.240;0.240;0.000;0.100;0.070;0.230;0.060;0.210;;;;;;;;;;;;;;;;;;
2013;0.010;0.180;0.040;-;0.040;0.060;0.080;0.100;;;;;;;;;;;;;;;;;;
2014;0.200;0.000;0.030;0.050;0.100;0.080;0.230;0.080;;;;;;;;;;;;;;;;;;
2015;0.060;0.030;-;0.420;0.430;0.180;0.040;0.010;;;;;;;;;;;;;;;;;;
2016;0.011;0.015;0.011;0.015;0.033;0.250;0.038;0.043;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Phosphates;1M;2M;3P;4M;5M;6C;7S;8S;;;;;;;;;;;;;;;;;;
2007;3.200;0.300;0.040;0.400;0.130;0.070;0.750;0.140;;;;;;;;;;;;;;;;;;
2008;0.060;0.120;0.090;0.090;0.080;0.090;0.030;0.060;;;;;;;;;;;;;;;;;;
2009;0.020;0.230;-;0.130;0.180;0.154;0.060;0.110;;;;;;;;;;;;;;;;;;
2010;0.110;0.190;0.160;0.110;0.300;0.110;0.001;0.600;;;;;;;;;;;;;;;;;;
2011;0.020;0.100;0.360;-;0.110;0.030;0.010;0.000;;;;;;;;;;;;;;;;;;
2012;0.070;0.120;0.050;0.110;0.100;0.020;0.000;0.050;;;;;;;;;;;;;;;;;;
2013;0.006;0.069;0.021;-;0.063;0.037;0.132;0.026;;;;;;;;;;;;;;;;;;
2014;0.035;0.067;-;0.116;0.178;0;0.023;0;;;;;;;;;;;;;;;;;;
2015;0.035;0.067;-;0.116;0.178;0.000;0.023;0.000;;;;;;;;;;;;;;;;;;
2016;0.030;0.204;0.000;0.058;0.019;0.041;0.035;0.025;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
TOC;1M;2M;3P;4M;5M;6C;7S;8S;;;;;;;;;;;;;;;;;;
2007;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;
2008;29.80;5.50;1.70;1.80;1.90;1.70;1.60;1.80;;;;;;;;;;;;;;;;;;
2009;2.20;20.70;-;17.90;4.00;2.50;49.00;-;;;;;;;;;;;;;;;;;;
2010;4.03;5.09;6.03;4.33;7.54;5.36;4.10;7.55;;;;;;;;;;;;;;;;;;
2011;4.77;5.82;6.57;-;4.78;3.80;3.61;3.91;;;;;;;;;;;;;;;;;;
2012;27.21;4.66;4.23;4.14;4.06;3.36;4.34;3.70;;;;;;;;;;;;;;;;;;
2013;40.79;-;12.08;-;22.80;17.23;13.58;27.87;;;;;;;;;;;;;;;;;;
2014;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;
2015;#REF!;#REF!;-;#REF!;#REF!;#REF!;#REF!;#REF!;;;;;;;;;;;;;;;;;;
2016;28.53;30.52;32.67;30.03;17.98;26.89;28.31;19.22;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
DOC;1M;2M;3P;4M;5M;6C;7S;8S;;;;;;;;;;;;;;;;;;
2007;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;
2008;1.50;4.50;1.80;1.80;2.10;1.80;1.60;1.90;;;;;;;;;;;;;;;;;;
2009;3.90;4.10;-;12.60;11.20;7.80;9.20;-;;;;;;;;;;;;;;;;;;
2010;3.55;2.86;5.37;2.73;5.94;3.45;2.42;4.69;;;;;;;;;;;;;;;;;;
2011;2.81;3.84;4.40;-;3.59;0.50;1.17;2.14;;;;;;;;;;;;;;;;;;
2012;3.94;4.56;3.99;4.07;3.85;3.19;4.25;3.53;;;;;;;;;;;;;;;;;;
2013;4.45;-;7.74;-;16.83;15.50;4.86;13.60;;;;;;;;;;;;;;;;;;
2014;-;-;-;-;-;-;-;-;;;;;;;;;;;;;;;;;;
2015;#REF!;#REF!;-;#REF!;#REF!;#REF!;#REF!;#REF!;;;;;;;;;;;;;;;;;;
2016;28.33;29.73;32.59;29.90;15.75;26.21;27.50;17.24;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
