;1M;2M;5M;7S1;7S2;8S;9S1;9S2;4M1;4M2;6C1;6C2;3P
PCB;10.002;10.02;10;10;9.96;10.03;10;10;10;10.082;10.02;10;10.004
Heavy Metals;5;5.02;5;5;5.05;5.03;5;5;5;5.076;4.981;5;5
